Listing Name,Rent Price (Yearly),Location,Listing Type,Square Feet,Bed,Bath
Brand New Luxurious 1 Bedroom Apartment!,"46,200","District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,800 sqft,1,2
3BR Maid Study In Oceana Pacific For Rent,"265,000","Oceana Pacific, Oceana, Palm Jumeirah, Dubai",Apartment,"2,279 sqft",3,4
Business Bay -U-Bora Tower 1BR+ Study -Canal Views,"75,000","Ubora Tower 1, U-Bora Tower, Business Bay, Dubai",Apartment,988 sqft,1,2
Elegant 1BR | Luxury Finish | Canal and Downtown View,"75,000","Marquise Square, Business Bay, Dubai",Apartment,837 sqft,1,2
Luxury Studio | High-End Quality Finish | Canal View,"58,000","Marquise Square, Business Bay, Dubai",Apartment,544 sqft,null,1
5 BHK Beautiful VILLA + MAID  ROOM FOR RENT IN AL BARSHA 3,"210,000","Al Barsha 3, Al Barsha, Dubai",Villa,"12,000 sqft",5,null
Premium FLAT in Warsan| No Commission,"39,900","Warsan 4, Al Warsan, Dubai",Apartment,727 sqft,1,2
Ready Property | Prestigious Community | TH-L,"130,000","Queens Meadows, DAMAC Hills (Akoya by DAMAC), Dubai",Villa,"2,578 sqft",3,4
"studio , kitchen appliance , chiller fry","50,000","Boutique 7 Hotel Apartments, Barsha Heights (Tecom), Dubai",Apartment,648 sqft,null,1
Brand new spacious 1bed - ready to move in,"64,999","Dubai Wharf, Culture Village, Dubai",Apartment,"1,002 sqft",1,2
"One Bedroom in Spain Cluster, International City For rent Only in 32,000/-","32,000","Spain Cluster, International City, Dubai",Apartment,780 sqft,1,2
"Maid Room | 4 BR Family Villa | AED 250,000","250,000","Deema 1, Deema, The Lakes, Dubai",Villa,"3,703 sqft",4,5
